trade_id,direction,armed_time,entry_time,entry_price,stop_price,target_price,risk,swept_level_price,swept_level_source,sweep_extreme,fvg_top,fvg_bottom,midnight_open,bias,result,exit_time,exit_price,r_gained,pnl,points_gained
20200103-3322ba,LONG,2020-01-03 08:00,2020-01-03 09:25,8756.51,8737.0,8807.04,19.51,8759.82,PREV_DAY,8740.6,8754.51,8743.0,8811.3,BULLISH,WIN,2020-01-03 09:35,8807.04,2.59,2589.93,50.53
20200107-18c794,LONG,2020-01-07 07:40,2020-01-07 09:35,8859.01,8839.3,8910.15,19.71,8843.69,ASIAN,8838.38,8858.21,8856.23,8863.53,BULLISH,LOSS,2020-01-07 09:40,8837.3,-1.101,-1101.45,-21.71
20200108-5a673e,SHORT,2020-01-08 08:45,2020-01-08 09:30,8858.59,8878.31,8807.43,19.72,8813.47,ASIAN,8871.4,8862.94,8860.59,8790.19,BEARISH,LOSS,2020-01-08 09:55,8880.31,-1.101,-1101.41,-21.72
20200114-5e4593,LONG,2020-01-14 07:30,2020-01-14 09:25,9059.82,9039.7,9112.17,20.12,9062.63,ASIAN,9055.39,9057.82,9057.09,9069.85,BULLISH,LOSS,2020-01-14 09:40,9037.7,-1.099,-1099.43,-22.12
20200120-ff44a7,LONG,2020-01-20 07:30,2020-01-20 09:30,9157.51,9137.2,9210.44,20.31,9163.46,ASIAN,9152.76,9155.51,9154.75,9165.77,BULLISH,FLAT,2020-01-20 18:00,9163.42,0.291,290.98,5.91
20200123-ec8efa,LONG,2020-01-23 10:25,2020-01-23 10:45,9180.95,9160.59,9234.02,20.36,9169.39,ASIAN,9163.39,9183.38,9177.4,9175.88,BULLISH,FLAT,2020-01-23 16:00,9235.43,2.676,2676.11,54.48
20200127-915c27,SHORT,2020-01-27 09:30,2020-01-27 10:25,8980.09,9000.05,8928.2,19.96,9034.94,ASIAN,9039.4,8982.61,8982.09,9018.45,BEARISH,LOSS,2020-01-27 12:45,9002.05,-1.1,-1100.18,-21.96
20200128-d2044f,SHORT,2020-01-28 09:05,2020-01-28 09:30,9017.99,9038.03,8965.87,20.04,9001.97,ASIAN,9028.6,9021.46,9019.99,8997.13,BEARISH,LOSS,2020-01-28 10:20,9040.03,-1.1,-1099.8,-22.04
20200129-afa157,SHORT,2020-01-29 07:30,2020-01-29 08:30,9138.51,9158.79,9085.67,20.28,9141.7,PREV_DAY,9145.19,9141.44,9140.51,9131.45,BEARISH,WIN,2020-01-29 10:00,9085.67,2.606,2605.54,52.84
20200131-3620d8,LONG,2020-01-31 07:30,2020-01-31 08:30,9177.59,9157.24,9230.64,20.35,9202.65,ASIAN,9162.68,9183.45,9174.72,9232.4,BULLISH,LOSS,2020-01-31 09:30,9155.24,-1.098,-1098.27,-22.35
20200207-179d96,LONG,2020-02-07 07:30,2020-02-07 08:35,9415.14,9394.31,9469.62,20.83,9413.14,ASIAN,9408.13,9413.14,9412.0,9427.61,BULLISH,LOSS,2020-02-07 08:40,9392.31,-1.096,-1096.03,-22.83
20200213-925a03,LONG,2020-02-13 07:30,2020-02-13 09:30,9532.31,9511.25,9587.49,21.06,9544.95,PREV_DAY,9514.46,9530.31,9523.01,9565.28,BULLISH,WIN,2020-02-13 10:45,9587.49,2.62,2620.14,55.18
20200218-b205b9,SHORT,2020-02-18 10:25,2020-02-18 10:30,9600.0,9621.2,9544.39,21.2,9585.81,ASIAN,9617.8,9609.76,9602.0,9568.93,BEARISH,LOSS,2020-02-18 13:10,9623.2,-1.094,-1094.32,-23.2
